pid	Verbal Report	cat_score_high	cat_score_low	cat_score_med	cat_cost_high	cat_cost_low	cat_cost_med
383	I got dollar amounts from outside center and then from side or sides and inner circle tried to pick the least amount to see but guess the best route.	0	1	0	0	0	1
384	I tried using probability and guesses.	0	1	0	1	0	0
385	I decided which direction I would go and then viewed 1 value of a location and based on that number I chose to go to it or away from it at the fork.	1	0	0	1	0	0
386	check to see which route paid better	0	0	1	0	1	0
387	I didn't plan because it seemed so random. I just tried different options.	0	1	0	0	1	0
388	I uncovered the end results until I found a high one, then uncovered the path to it. 	1	0	0	0	1	0
389	i wanted to go to all the destination. 	0	1	0	0	0	1
390	I started with the closest dots and followed which one had the highest amount to find a good route without wasting to much money opening dots.	0	0	1	0	1	0
394	I ended up clicking on the circles so I could see how much they were adding or subtracting. Then if they were adding, I went in that direction	0	1	0	0	0	1
396	I spent money to plan ahead	0	0	1	0	0	1
398	I guessed	0	1	0	1	0	0
399	I tried to look for a pattern based on the feedback	0	1	0	0	0	1
400	Just navigated based on where it had not been before.	0	0	1	1	0	0
401	I clicked ahead to find all of the green.	0	0	1	1	0	0
402	I didn't, I guessed.	0	1	0	0	0	1
403	I tried different routes and then tried to stick with the route I thought wouldn't put me in the negative. I guess that wasn't such a good plan.	0	0	1	1	0	0
404	I didn't use any particular strategy.	1	0	0	1	0	0
405	At first, I figured it wasn't worth checking out all the circles, but toward the end I worked out a strategy.	0	1	0	0	0	1
406	Whichever had the greater positive outcome in the end	0	0	1	0	0	1
407	check the first level and work out from there	1	0	0	0	1	0
408	Randomly	0	1	0	1	0	0
409	I tried to stick to the same directions with each move, which usually paid off	0	1	0	0	1	0
410	By checking the closes spots before choosing my path.	1	0	0	0	1	0
411	Trying to maximize the bonus	0	0	1	0	1	0
412	I typically clicked on one or two orbs and then picked the one with the greatest value.  Other choices thereafter were total guesses.	0	1	0	1	0	0
413	I tried to follow a pattern but couldn't find it.	0	0	1	1	0	0
415	I tried to pick the destination that has a good reward then hope the best	0	0	1	0	1	0
416	I tried to find a pattern but couldn't, so after that I previewed some spots and tried to look for positive $ amounts.	1	0	0	1	0	0
417	It was challenging	0	0	1	1	0	0
418	I tried to find the best route with spending the least amount of money. So I would click the closest places to you until there was a good value and then the next spaces for the highest values. Once I found the best starting path I would only click 1 of the end places and then guess.	1	0	0	0	0	1
419	I experimented with a few different methods, in most cases trying to find a route quickly that would be profitable with minimal risk. Other times I took a blind run and hoped for the best outcome.	0	1	0	1	0	0
420	I uncovered enough to find a high path, but did not spend the money to find all paths in most situations.	0	0	1	0	1	0
421	Tried to value one of the locations and if it was a negative value I went the opposite way.	0	1	0	1	0	0
422	Checked out the ends and then one with two good ends, I'd look at middle ones.	0	0	1	0	1	0
423	Taking only two paths.	0	1	0	0	0	1
424	"I clicked on first circle of options and found the green values. From there I extended the \""trees\"" that started with the green value to find the best route."	1	0	0	0	1	0
425	Once I found a successful pattern, I would repeat it.	0	1	0	0	0	1
426	I tried to select 2 choices from the first 4 options given. Then from there, I would randomly select a final destination from the first option that had the most money.	1	0	0	1	0	0
427	Always looked for the first step that seemed like a positive number and then checked to see if that path continued with positive numbers. If my first few clicks showed a positive I went with what I felt was a win already.	0	0	1	0	1	0
428	I clicked on the four middle spaces first, and then I clicked on additional circles in paths where the first arrow was a large/positive number	0	0	1	0	0	1
429	BY TRYING TO REMEMBER THE THE WAY IT	0	0	1	1	0	0
430	I decide to plan according from the last trail if I went one route and it was not good then decide to take another route. so I went on Trail and error basis.	0	0	1	0	0	1
431	I clicked on the first one in each direction. if it had a positive value, I clicked on the second one until I fund the path with the greatest value. 	0	0	1	0	1	0
432	trying to maximize profit	1	0	0	0	1	0
433	I tried to guess which way would benefit me more	0	1	0	0	1	0
435	check the 4 directions, then check the next trip for each of the directions with a positive amount.  repeat	0	0	1	0	0	1
436	I began by finding the best ends and then finding the best pathway to that end.	0	0	1	0	1	0
437	I tried to aim for the highest outcome	0	0	1	1	0	0
438	Just went with gut feeling	0	0	1	1	0	0
439	I tried to find a pattern, and go up or right, depending on the results. The noticed it was switching to left and down, so did the same thing there. 	0	1	0	0	0	1
440	i clocked to uncover a few times and went for it other times	1	0	0	1	0	0
441	trying thinking it though	0	1	0	0	1	0
442	I just simply try to try different routes in hoping to see what each one of them has in store for me.	0	0	1	1	0	0
443	I tried to look for the higher paying areas and go for those while also not checking too many as to get his with the $1.25 fee. 	0	0	1	0	0	1
444	I clicked to try and find the best route	0	0	1	1	0	0
445	At first I tried to pick my path carefully only going with would give me a bonus that would be greater than the cost.	0	1	0	1	0	0
447	I chose the initial direction based on which circle closest to me had the highest amount. Then based on that I revealed the amounts at the two ends of the fork for that route and then proceeded	0	1	0	0	0	1
448	Fumbling about.	0	0	1	1	0	0
449	At first I used seeing a couple of hit points before I moved. The it was random but if I did poorly in the round I used the same path the next turn. The odd of bad paths twice in a row are a little less likely. In the end, I chose just one data point.	1	0	0	1	0	0
450	none	0	1	0	1	0	0
451	I picked based on the different nodes where I would make a decision.	0	0	1	1	0	0
452	I used the tried and true method	1	0	0	1	0	0
453	I chose the first route that promised a profit	0	0	1	1	0	0
454	I just guessed and if it was bad once going up I figured the next time it would be good- it would never be the same. I knew I didn't want to spend 4.00 to look at the answers because that would not be worth it because some are bad and good along a route you cannot escape it	1	0	0	1	0	0
455	I did it randomly	0	1	0	0	1	0
456	I tried to reveal as few locations as possible to find a profitable path, but I didn't do it very well.	0	1	0	1	0	0
458	Picked a circle close by, and if negative, picked another circle close by until positive.  If positive, picked a circle in a termination point on that branch and either flew to it if positive, or flew to the other termination branch if negative (took my chances on the intermediate circle).	1	0	0	0	0	1
459	I tried to just check a couple of values until I found two positive amounts.  Once I found those, I hoped that the hidden value would not be more than the two positive ones.	0	1	0	0	0	1
460	I checked the last circle.  then some in between.  The last circle made up my mind which route to take	0	0	1	0	0	1
461	Honestly I just went with my gut. 	1	0	0	0	0	1
462	I tried to pick routes that were profitable or not too big of losses all while trying to minimize the number of routes I looked at. 	1	0	0	0	0	1
463	What I felt was the highest paying route	0	1	0	0	1	0
464	calculations , and probability. 	0	1	0	1	0	0
465	I usually went in different direction each round, but in a couple of rounds, I stayed with the same route as the previous round if I lost money the first time, thinking it would switch to a more profitable path for the second round.	1	0	0	1	0	0
466	Tried to pick flight plans with majority positive payments and overall highest cumulative amounts.	1	0	0	0	0	1
467	I first clicked on the circles closest to the plane, then if that number was green and high I went on from there	1	0	0	0	1	0
468	just what looked good	0	1	0	0	0	1
470	I planned the route normally by observing a positive amount for the first move. I did try seeing a few times behind a negative amount to see if it would make up for the loss, but most of the time it didn't seem to.	0	1	0	1	0	0
471	sometimes I checked ahead and sometimes I decided to fly blind and rely on luck--the outcomes varied	1	0	0	1	0	0
472	I started by trying to see which route started off positive, and then picked a route that started positive and then followed it to see if I would make more than the other paths. 	1	0	0	0	0	1
473	Initially random. Toward the end I reviewed hidden values.	0	1	0	1	0	0
474	I just guessed. 	0	1	0	0	1	0
476	I clicked on a few of the paths leading to the destinations to see if they paid well	0	0	1	0	1	0
478	searching for the most lucrative route by following the money	1	0	0	0	0	1
479	At first, I was clicking to plan, but noticed that it cost too much money. Instead, I started taking shots in the dark.	0	1	0	1	0	0
480	just random clicking	0	1	0	0	0	1
481	I just kept checking.	0	1	0	1	0	0
483	i clicked on each of the 4 initial directions and then the one that was worth the most i clicked on it's two destinations to find the one that's worth the most.	0	0	1	0	0	1
484	I clicked on two circles, if one of the two was green, then I proceeded to click a path to see which would provide more money. I didn't go down a negative path unless I absolutely had to. I tried to keep my choices to two total flight paths each. 	0	0	1	0	1	0
485	followed the green or lowest red number	1	0	0	0	0	1
487	it was completely by chance	1	0	0	1	0	0
488	Based on the final value of the position of the plane	1	0	0	1	0	0
489	I usually wouldn't go the same direction as previous green routes. 	1	0	0	0	0	1
490	Try to look ahead by spending four dollars.	1	0	0	1	0	0
491	At first I tried moving without clicking on a space first to try to save money.	0	1	0	1	0	0
492	Choosing different routes each time.	1	0	0	0	0	1
493	Found a positive route when possible using the first and last bubbles. If they were positive I took that route, the intermediary bubble never really mattered.	1	0	0	1	0	0
497	I clicked the top middle circles first and then final destinations. If they were both green, then I clicked the path closest to the airplane and chose the one that was green.	0	0	1	0	1	0
498	I tried to alternate my route after realizing repeating the same route wasn't advantageous.	0	1	0	0	1	0
499	I seen the values of the end and beginning of the flight/	0	0	1	0	1	0
500	i went to the 2nd spot in the line to determine if that path was worth it	0	1	0	0	0	1
501	looked for the cheapest path	1	0	0	0	0	1
502	I tried to rule out the first step, then take a look at where the end of those routes earned. I did some math in my head to calculate the best I could do based on the maximum payout.	1	0	0	0	1	0
503	Test a few places and avoid the negative spots.	1	0	0	0	0	1
504	Identifying first which location had the best payout, then identifying the interim path that either increased or decreased the final payout the most/least.	0	0	1	0	0	1
505	I selected at random a few spaces to reveal and then chose the best option out of those routes I knew	1	0	0	1	0	0
506	I tried to find the best 1st move and go from there.	0	0	1	0	0	1
507	I tried to plan the route to avoid the big penalties. So if I saw a route with a -20 I would do the opposite without necessarily revealing it, with mixed results.	0	0	1	0	0	1
508	Honestly, I don't know.  It really was a process of trial and error.  I couldn't really identify any strategy that I could consistently use to be successful in this game.  I found it frustrating.	0	1	0	1	0	0
509	looked at last spot first 	1	0	0	1	0	0
511	just clicked to get green and then a wild guess	0	1	0	0	1	0
512	Reveal first node, find positive ones, then reveal more nodes from there to find the most optimal path	1	0	0	0	1	0
514	It was pretty pricey for me to try to figure out which way to go, so I tried to pick and choose what I want to find out, and then go from there.	1	0	0	1	0	0
515	Checked the immediate first steps and used those to decide which farther steps to check.	1	0	0	0	0	1
516	I tried to click but was losing too much money, but also lost choosing randomly, so I didn't see an advantage either way.	0	1	0	0	0	1
517	by unlocking most of the values and taking the best route	1	0	0	0	1	0
518	looked for 20	0	0	1	0	0	1
519	I checked the 4 primary routes first (the first place you moved to), then of the 2 that appeared to pay the most, I then checked the 6 end points, and decided where to go based on that. This is the funnest HIT I've ever done, and I genuinely enjoyed it. Thank you!	1	0	0	0	1	0
520	Trying to find the most profit and not peeking at too many $ amounts first.	0	0	1	0	0	1
521	Started by clicking but ended up guessing.	0	0	1	1	0	0
522	i checked the prices first and decided my route.	1	0	0	0	0	1
523	Clicked the first four options and picked the highest amount.	0	1	0	1	0	0
524	took the route with the most positive first stop.	0	1	0	1	0	0
525	I tried to pick from each area and avoid the negative, but left some gaps to not waste too much money, unless I got too many negatives revealed.	0	0	1	0	1	0
526	Just to click a few spots. Once I built up a little pot , I was quicker to spend it a little more	1	0	0	0	0	1
527	Looked at the end points and planned backwards to maximize earnings	1	0	0	0	1	0
528	There was no specific planning. 	0	1	0	0	0	1
530	pure guessing, i do think my bonus is wrong though because multiple times I went positive and was not rewarded a  bonus should have recieved at least $0.48 in bonus 	0	0	1	1	0	0
