,0,1,2,3,4,5,6,7,8
101,I didn't click any inner nodes unless the biggest outer nodes were the same.,I mainly only clicked on the outermost nodes because they were the most swingy.,Anywhere on the outside.,After I clicked all the outer nodes and enough inner ones to makes a guess.,I didn't think the inner nodes were worth it most of the time.,No,I learned how I deal with risks and probability.,None,36
102,first stages,last ending points,the end points right side,once i found a high value,not really,no,go for the highest,none,26
103,If I lost on a not I went to the next one,"I tried to rotate , but honestly could not get a pattern",The left,Till I was unable to move forward,I honestly did not feel I had a strategy but would have loved to play longer.,no really,"Not sure, other than it was a fun challenge",This should be an app game!,55
104,I chose to not click nodes that were in between where I was and a farther away node that had a great cost associated with it.,I chose to click on the farthest nodes from the starting point because they seemed to have the greatest cost or benefit compared to closer nodes.,On the nodes on the farthest edges of the board.,When I found a good path with low cost to a node with great benefit.,I was simply trying to find the best possible benefit for the lowest relative cost to me.,No.,Cost/benefit analysis.,Fun game.,33
105,i usually did not click the first step,i clicked on mostly end nodules,the end nodules,when I found a large enough green number at the end,went the route to the largest end nodule,no,I learned that I there was rarely a route without red numbers,no,60
106,Just gut instinct,Just gut instinct,The lower right,When I got a big number,No.,"No, but this was VERY irritating!  I do not appreciate being made to wait around as some kind of ""punishment"" because I didn't click somewhere.  2 and change for nearly thirty minutes is SLAVE wages!  You should all be ashamed of yourselves!",Nothing,,36
107,If I had clicked boxes in an area and they were all low I would not click over that way any more. ,Where I thought the highest value might be. ,At the top nodes. ,If I was getting mostly negative values I just stopped clicking or when I found one with a high value I would stop. ,Just trying to find the highest value without clicking too many and loosing too much money paying to click. ,I was confused at first that I had to click a node to find at least one value. ,That trying to figure out where the highest value would be was very hard when there was not a pattern established. ,,32
108,"I didn't click on the nodes that were closer to the center because they had less impact, both positive and negative and it wasn't worth wasting money on.",I usually just went to the last nodes and revealed them to see where the high numbers and really low numbers were.,on the end nodes,I usually stopped clicking when I found a really high node on at the end points,not really-- just reveal end nodes until you got a really high one and then proceed walking that way,No-- pretty straightforward,I learned-- at least I think that the highest impact was to go the route of just finding the high point nodes at the end and going for it.,,35
109,Math,Math,equal,Math,Win,Nothing,Winning,,44
110,I only clicked on the end points - left the others alone,I clicked on the end points,I picked different places to start each round.,Either I was done with the end points or I uncovered a big number,No,It was easy,It was a fun game,,57
111,If something wasn't high,I went off of how high the value was of my target,One of the end nodes,When I couldn't click any longer,That sums it up. That was harder than I thought it would be.,No,T take a balance between taking a chance and trying to know everything.,"That was fun :)

Thanks for the opportunity.",32
112,where i would lose money,Random,random,when i came up with a decent positive amount,just the first node with a decent amount is when i stopped clicking,none,that nothing in life is free ,none,27
113,I didn't bother clicking the nodes in the middle of the web because they were low value and I'd have to pass through them to get to the high value nodes,I clicked on the final nodes because I realized they were worth the most,"I tried to make it random, like a computer would","Arbitrarily, when I found a node that seemed high value",That's about it.,It was easy to understand.,I learned to overlook the small gains and losses in favor of the large gains and losses.,None.,38
114,I didnt click on nods within the web ,I clicked at the ends of the web,the sides of the web,When I received a high number node,no ,no,games are fun when money is invovled ,,29
115,I did not click on areas I would have to go regardless.,I clicked at the end nodes that would be my final result.,I would most likely be clicking final destination nodes.,I stopped clicking after I found big numbers at final destination nodes.,I did not click on all nodes in the path.,Nothing was confusing.,I learned how to estimate.,Great and fun HIT!,25
116,Most node leafs whose parent aren't already green.,I just first revealed every leaf node's parent and then I tried revealing the leafs whose parents are already most profitable.,The parent of every leaf node.,Found an adequately profitable path.,Minimum effort exerted.,"While I was moving my browser window to a larger display, I might have skipped the tutorial pages before the first one requiring me to press Space.",UCB has some cool HITs. Thanks for even telling me that my rotated display was not adequate beforehand.,Make more fun HITs like these; tell me more about the study after I'm done.,24
117,,,,,,,,,
